Ind_ID,Npoints_beforecleaning,Npoints_aftercleaning1,origin,release_date,release_lat,release_lon,Country
4623747,1725,1725,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623752,5528,5526,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623756,1311,1311,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623758,1351,1351,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623760,3847,3847,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623765,6855,6855,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623767,546,546,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623768,397,397,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623772,6161,6158,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4623773,15,15,captive bred,3/22/2015,41.07272,65.09262,Uzbekistan
4626016,11099,11099,wild,5/13/2015,39.89996,65.19942,Uzbekistan
4626030,330,330,wild,5/19/2015,39.7938,65.38046,Uzbekistan
4626032,4480,4479,wild,5/21/2015,39.86803,65.21902,Uzbekistan
4626033,9590,9588,wild,5/22/2015,39.6677,65.19472,Uzbekistan
4626038,8178,8176,wild,5/26/2015,39.60715,65.44476,Uzbekistan
4626039,4744,4743,wild,5/25/2015,39.61658,65.366,Uzbekistan
4626040,4091,4090,wild,5/25/2015,39.90086,65.29434,Uzbekistan
4626044,1289,1289,wild,5/25/2015,39.61206,65.42664,Uzbekistan
4626046,105,105,wild,5/27/2015,39.82317,65.21732,Uzbekistan
4626054,2605,2605,wild,5/28/2015,39.7363,65.38703,Uzbekistan
4626056,7723,7722,wild,5/29/2015,39.62871,65.43803,Uzbekistan
4626057,2099,2099,wild,5/29/2015,39.60635,65.37591,Uzbekistan
4626058,8773,8771,wild,5/29/2015,39.60635,65.37591,Uzbekistan
4631135,9583,9583,captive bred,3/15/2016,41.53433,64.86761,Uzbekistan
4631136,115,115,captive bred,3/15/2016,41.53433,64.86761,Uzbekistan
4631186,2520,2520,captive bred,3/15/2016,42.14231,63.41832,Uzbekistan
4631187,1639,1639,captive bred,3/15/2016,42.14231,63.41832,Uzbekistan
4631208,1396,1396,captive bred,3/15/2016,42.72003,63.2164,Uzbekistan
4631210,989,989,captive bred,3/15/2016,42.72003,63.2164,Uzbekistan
4631227,93,93,captive bred,3/15/2016,42.10008,64.52321,Uzbekistan
4631228,3266,3265,captive bred,3/15/2016,42.10008,64.52321,Uzbekistan
4631250,4353,4353,captive bred,3/15/2016,42.0237,63.93737,Uzbekistan
4631266,4255,4255,captive bred,3/15/2016,42.0237,63.93737,Uzbekistan
4631267,4388,4388,captive bred,3/15/2016,42.74709,63.193,Uzbekistan
4631268,3195,3195,captive bred,3/15/2016,42.74709,63.193,Uzbekistan
4631279,1827,1827,captive bred,3/15/2016,41.99466,64.04165,Uzbekistan
4631280,1749,1749,captive bred,3/15/2016,41.99466,64.04165,Uzbekistan
4631297,1341,1341,captive bred,3/15/2016,42.78061,63.31346,Uzbekistan
4631298,5416,5416,captive bred,3/15/2016,42.78061,63.31346,Uzbekistan
4631340,29,29,captive bred,3/15/2016,42.74504,63.60586,Uzbekistan
4631341,1317,1317,captive bred,3/15/2016,42.74504,63.60586,Uzbekistan
4631345,93,93,captive bred,3/15/2016,42.70757,63.87874,Uzbekistan
4631346,7,7,captive bred,3/15/2016,42.70757,63.87874,Uzbekistan
4631377,599,599,captive bred,3/16/2016,41.38913,64.61238,Uzbekistan
4631423,3377,3377,captive bred,3/16/2016,41.33283,64.75786,Uzbekistan
4631490,1864,1864,captive bred,3/16/2016,41.27853,64.4874,Uzbekistan
4631522,73,73,captive bred,3/16/2016,41.18545,64.91666,Uzbekistan
4631533,312,312,captive bred,3/16/2016,41.4007,65.0133,Uzbekistan
4631574,3090,3089,captive bred,3/17/2016,40.81423,65.07506,Uzbekistan
4631629,2413,2413,captive bred,3/17/2016,40.87238,65.3551,Uzbekistan
4631638,240,240,captive bred,3/17/2016,40.84705,65.1723,Uzbekistan
4631660,2190,2190,captive bred,3/17/2016,40.8774,65.26003,Uzbekistan
4631662,508,508,captive bred,3/17/2016,40.8774,65.26003,Uzbekistan
4631680,141,141,captive bred,3/17/2016,40.93156,65.35116,Uzbekistan
4631739,2327,2326,captive bred,3/17/2016,40.92295,65.22006,Uzbekistan
4631778,5951,5950,captive bred,3/17/2016,40.97688,65.35488,Uzbekistan
4631801,884,884,captive bred,3/18/2016,40.98828,65.12796,Uzbekistan
4631824,2046,2046,captive bred,3/18/2016,40.91991,64.9884,Uzbekistan
4631935,2819,2819,captive bred,3/18/2016,41.0646,65.1244,Uzbekistan
4631964,603,603,captive bred,3/18/2016,42.22073,64.81048,Uzbekistan
4631994,1,1,captive bred,3/18/2016,42.19716,64.74956,Uzbekistan
4632007,989,989,captive bred,3/18/2016,41.05038,64.6648,Uzbekistan
4650180,1030,1030,captive bred,3/19/2017,42.06735,63.85497,Uzbekistan
4650187,173,173,captive bred,3/19/2017,42.1314,64.3764,Uzbekistan
4650191,3868,3868,captive bred,3/19/2017,42.09869,64.38441,Uzbekistan
4650203,6935,6935,captive bred,3/19/2017,42.06735,63.85497,Uzbekistan
4650322,981,981,captive bred,3/21/2017,40.9828,65.25541,Uzbekistan
4650331,8350,8347,captive bred,3/21/2017,40.92197,64.89987,Uzbekistan
4650382,1447,1447,captive bred,3/21/2017,40.9828,65.25541,Uzbekistan
4650423,554,554,captive bred,3/21/2017,40.93841,65.20849,Uzbekistan
4650437,268,268,captive bred,3/21/2017,40.9828,65.25541,Uzbekistan
4650445,2074,2074,captive bred,3/21/2017,40.92197,64.89987,Uzbekistan
4650493,1918,1918,captive bred,3/21/2017,40.9828,65.25541,Uzbekistan
4650529,1992,1991,captive bred,3/20/2017,41.0455,64.66676,Uzbekistan
4650582,1807,1807,captive bred,3/21/2017,40.93841,65.20849,Uzbekistan
4650598,2479,2479,captive bred,3/21/2017,40.81556,65.07784,Uzbekistan
4650650,1792,1792,captive bred,3/24/2017,39.39605,65.34495,Uzbekistan
4650659,2043,2042,captive bred,3/21/2017,40.81556,65.07784,Uzbekistan
4650682,1928,1928,captive bred,3/19/2017,42.07789,63.35313,Uzbekistan
4650713,3811,3810,captive bred,3/19/2017,42.07789,63.35313,Uzbekistan
4650724,5460,5457,captive bred,3/19/2017,42.1003,64.54402,Uzbekistan
4650727,134,134,captive bred,3/24/2017,39.48008,65.33195,Uzbekistan
4650729,1856,1856,captive bred,3/19/2017,42.1314,64.3764,Uzbekistan
4650738,4218,4218,captive bred,3/19/2017,42.09869,64.38441,Uzbekistan
4650740,6128,6128,captive bred,3/19/2017,42.07337,64.56123,Uzbekistan
4650773,7,7,captive bred,3/24/2017,39.39605,65.34495,Uzbekistan
4650778,7413,7412,captive bred,3/24/2017,39.39605,65.34495,Uzbekistan
