"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6062962,9651011,"Satellite",4617850,"GPS","7/9/2019 16:00:00",40.48017,64.779,26,271,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062964,9651011,"Satellite",4617850,"GPS","11/29/2018 10:00:00",28.091,61.31933,26,1374,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062965,9651011,"Satellite",4617850,"GPS","4/8/2019 18:00:00",34.76867,60.99383,26,718,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062966,9651011,"Satellite",4617850,"GPS","6/2/2018 16:00:00",39.74967,65.38367,26,320,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062967,9651011,"Satellite",4617850,"GPS","5/24/2019 6:00:00",40.20117,64.05283,26,206,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062969,9651011,"Satellite",4617850,"GPS","8/9/2018 14:00:00",39.752,65.4165,26,336,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062971,9651011,"Satellite",4617850,"GPS","9/28/2018 22:00:00",39.71333,65.44833,26,324,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062972,9651011,"Satellite",4617850,"GPS","11/29/2018 8:00:00",28.094,61.3205,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062973,9651011,"Satellite",4617850,"GPS","5/24/2019 12:00:00",40.19267,64.06833,26,204,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062974,9651011,"Satellite",4617850,"GPS","1/1/2019 16:00:00",28.096,61.3195,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
