"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6056488,9651010,"Satellite",16211,"GPS","6/27/2018 4:00:00",39.62333,65.39933,26,294,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056490,9651010,"Satellite",16211,"GPS","12/30/2018 0:00:00",30.546,65.126,26,1140,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056491,9651010,"Satellite",16211,"GPS","2/6/2019 6:00:00",30.56367,65.15,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056492,9651010,"Satellite",16211,"GPS","6/27/2018 18:00:00",39.62683,65.39783,26,288,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056493,9651010,"Satellite",16211,"GPS","2/6/2019 20:00:00",30.57033,65.132,26,1125,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056494,9651010,"Satellite",16211,"GPS","10/1/2019 0:00:00",39.63533,65.36417,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056495,9651010,"Satellite",16211,"GPS","12/6/2019 12:00:00",31.12867,64.69067,26,1115,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056496,9651010,"Satellite",16211,"GPS","12/7/2019 16:00:00",31.1155,64.68417,26,1109,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056497,9651010,"Satellite",16211,"GPS","6/27/2018 2:00:00",39.6195,65.40283,26,296,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056499,9651010,"Satellite",16211,"GPS","3/13/2019 16:00:00",30.54667,64.961,26,1055,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056504,9651010,"Satellite",16211,"GPS","5/30/2019 10:00:00",39.66417,65.5325,26,344,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056505,9651010,"Satellite",16211,"GPS","2/6/2019 12:00:00",30.55583,65.139,26,1104,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056506,9651010,"Satellite",16211,"GPS","4/23/2019 18:00:00",35.17833,60.99817,26,774,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056507,9651010,"Satellite",16211,"GPS","11/13/2019 16:00:00",31.63967,63.73367,26,826,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056508,9651010,"Satellite",16211,"GPS","12/6/2019 16:00:00",31.125,64.689,26,1115,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056510,9651010,"Satellite",16211,"GPS","2/6/2019 8:00:00",30.56,65.15,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056511,9651010,"Satellite",16211,"GPS","10/1/2019 2:00:00",39.62867,65.36383,26,282,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056512,9651010,"Satellite",16211,"GPS","12/6/2019 0:00:00",31.108,64.68433,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056513,9651010,"Satellite",16211,"GPS","12/6/2019 4:00:00",31.118,64.68683,26,1104,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056514,9651010,"Satellite",16211,"GPS","9/29/2019 18:00:00",39.63867,65.36517,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056516,9651010,"Satellite",16211,"GPS","3/13/2019 14:00:00",30.5385,64.95967,26,1058,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056517,9651010,"Satellite",16211,"GPS","6/27/2018 22:00:00",39.6335,65.40317,26,291,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056518,9651010,"Satellite",16211,"GPS","5/30/2019 4:00:00",39.66317,65.53367,26,351,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056519,9651010,"Satellite",16211,"GPS","10/1/2019 6:00:00",39.62933,65.36417,26,282,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056520,9651010,"Satellite",16211,"GPS","6/28/2018 14:00:00",39.62683,65.38333,26,287,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056522,9651010,"Satellite",16211,"GPS","12/7/2019 22:00:00",31.1155,64.68417,26,1109,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
