"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6067087,9651012,"Satellite",4637296,"GPS","9/27/2018 0:00:00",39.75533,65.383,26,323,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067089,9651012,"Satellite",4637296,"GPS","5/11/2019 16:00:00",39.983,64.99967,26,308,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067090,9651012,"Satellite",4637296,"GPS","6/3/2018 14:00:00",39.74167,65.3885,26,320,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067091,9651012,"Satellite",4637296,"GPS","12/5/2019 22:00:00",38.12167,64.08683,26,218,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067092,9651012,"Satellite",4637296,"GPS","6/3/2018 4:00:00",39.75167,65.38283,26,323,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067093,9651012,"Satellite",4637296,"GPS","9/27/2018 4:00:00",39.76233,65.37817,26,322,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067094,9651012,"Satellite",4637296,"GPS","12/5/2019 14:00:00",38.12167,64.087,26,218,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067095,9651012,"Satellite",4637296,"GPS","11/11/2018 8:00:00",39.62317,65.25383,26,267,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067096,9651012,"Satellite",4637296,"GPS","5/10/2019 20:00:00",39.9755,64.98083,26,287,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067097,9651012,"Satellite",4637296,"GPS","5/11/2019 0:00:00",39.97783,64.99317,26,308,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067098,9651012,"Satellite",4637296,"GPS","5/11/2019 4:00:00",39.975,65.011,26,324,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067100,9651012,"Satellite",4637296,"GPS","6/13/2018 2:00:00",39.74633,65.3695,26,311,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067101,9651012,"Satellite",4637296,"GPS","2/2/2019 2:00:00",36.91017,62.56633,26,327,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067102,9651012,"Satellite",4637296,"GPS","8/19/2018 22:00:00",39.72767,65.39383,26,316,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067103,9651012,"Satellite",4637296,"GPS","12/13/2019 10:00:00",38.135,64.03483,26,219,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067104,9651012,"Satellite",4637296,"GPS","6/3/2018 6:00:00",39.7535,65.37783,26,323,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067105,9651012,"Satellite",4637296,"GPS","6/3/2018 22:00:00",39.75017,65.38467,26,325,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067106,9651012,"Satellite",4637296,"GPS","6/4/2018 2:00:00",39.74717,65.387,26,320,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6067107,9651012,"Satellite",4637296,"GPS","6/2/2018 22:00:00",39.74967,65.38367,26,320,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
