Date,LAT,LONG
6/18/2018 2:00:00,39.58817,65.46033
6/18/2018 4:00:00,39.5865,65.4635
6/18/2018 6:00:00,39.58667,65.45817
6/18/2018 8:00:00,39.5865,65.4575
6/18/2018 10:00:00,39.588,65.46033
6/18/2018 12:00:00,39.588,65.461
6/18/2018 14:00:00,39.59383,65.45567
6/18/2018 16:00:00,39.60767,65.44233
6/18/2018 18:00:00,39.608670000000004,65.43983
6/18/2018 20:00:00,39.608670000000004,65.43983
6/18/2018 22:00:00,39.6125,65.43666999999999
6/19/2018 12:00:00,39.61483,65.43567
6/19/2018 14:00:00,39.61217,65.439
6/19/2018 16:00:00,39.62433,65.46600000000001
6/19/2018 18:00:00,39.6255,65.469
6/19/2018 20:00:00,39.62683,65.47133000000001
6/19/2018 22:00:00,39.62683,65.47133000000001
6/20/2018 0:00:00,39.62617,65.47083
6/20/2018 2:00:00,39.62567,65.47133000000001
6/20/2018 4:00:00,39.62583,65.46733
6/20/2018 6:00:00,39.62583,65.46733
6/20/2018 8:00:00,39.626329999999996,65.46683
6/20/2018 10:00:00,39.626329999999996,65.46683
6/20/2018 12:00:00,39.6275,65.469
6/20/2018 14:00:00,39.629,65.46533000000001
6/20/2018 18:00:00,39.632,65.46833000000001
6/20/2018 20:00:00,39.632329999999996,65.46817
6/20/2018 22:00:00,39.632329999999996,65.46817
6/21/2018 0:00:00,39.6305,65.47033
6/21/2018 2:00:00,39.627829999999996,65.46717
6/21/2018 4:00:00,39.6245,65.46467
6/21/2018 6:00:00,39.62467,65.46483
6/21/2018 8:00:00,39.62617,65.46483
6/21/2018 10:00:00,39.6235,65.462
6/21/2018 18:00:00,39.62617,65.47117
6/21/2018 20:00:00,39.626329999999996,65.47133000000001
6/21/2018 22:00:00,39.626329999999996,65.47133000000001
6/22/2018 0:00:00,39.6295,65.47166999999999
6/22/2018 2:00:00,39.626,65.46783
6/22/2018 4:00:00,39.623670000000004,65.465
6/22/2018 6:00:00,39.62383,65.46483
6/22/2018 8:00:00,39.624,65.46483
6/22/2018 10:00:00,39.623000000000005,65.46367
6/22/2018 12:00:00,39.62283,65.4635
6/22/2018 14:00:00,39.6145,65.45867
6/22/2018 16:00:00,39.60417,65.45100000000001
6/22/2018 18:00:00,39.60933,65.456
6/22/2018 20:00:00,39.61067,65.46183
6/22/2018 22:00:00,39.61067,65.46183
6/23/2018 0:00:00,39.626329999999996,65.46933
6/23/2018 2:00:00,39.62683,65.47367
6/23/2018 4:00:00,39.62233,65.4645
6/23/2018 12:00:00,39.622,65.46817
6/23/2018 14:00:00,39.619,65.46733
6/23/2018 16:00:00,39.60467,65.452
6/23/2018 18:00:00,39.60883,65.45733
6/23/2018 20:00:00,39.61717,65.45883
6/23/2018 22:00:00,39.619,65.4585
6/24/2018 6:00:00,39.62233,65.4615
6/24/2018 8:00:00,39.622170000000004,65.46217
6/24/2018 10:00:00,39.6225,65.46283000000001
6/25/2018 12:00:00,39.61967,65.46217
6/25/2018 14:00:00,39.613170000000004,65.46117
6/25/2018 16:00:00,39.60433,65.45233
6/25/2018 18:00:00,39.6075,65.473
6/25/2018 20:00:00,39.61133,65.48167
6/25/2018 22:00:00,39.626999999999995,65.4735
6/26/2018 0:00:00,39.62983,65.4685
6/26/2018 2:00:00,39.63167,65.46517
6/26/2018 4:00:00,39.62267,65.46067
6/26/2018 6:00:00,39.6225,65.46067
6/26/2018 8:00:00,39.622170000000004,65.462
6/26/2018 10:00:00,39.622170000000004,65.462
6/27/2018 0:00:00,39.610170000000004,65.43316999999999
6/27/2018 2:00:00,39.61717,65.46566999999999
6/27/2018 4:00:00,39.6215,65.46083
6/27/2018 6:00:00,39.62133,65.46067
6/27/2018 8:00:00,39.620329999999996,65.461
6/27/2018 10:00:00,39.61933,65.4625
6/27/2018 12:00:00,39.619170000000004,65.4625
6/27/2018 14:00:00,39.60917,65.458
6/27/2018 16:00:00,39.5995,65.44383
6/27/2018 18:00:00,39.60467,65.43316999999999
6/27/2018 20:00:00,39.60533,65.43033
6/27/2018 22:00:00,39.6095,65.43133
6/28/2018 0:00:00,39.61117,65.46117
6/28/2018 2:00:00,39.59967,65.48833
6/28/2018 4:00:00,39.59683,65.4725
6/28/2018 6:00:00,39.60283,65.47216999999999
